user_id,song_id,track_name,artist_id,genre,popularity,predicted_repeat_prob
7,508,Track_508,394,Jazz,1.0,0.6692352665412298
7,774,Track_774,88,Jazz,1.0,0.662479394607093
7,441,Track_441,386,Jazz,1.0,0.6576925367926436
7,632,Track_632,240,Jazz,1.0,0.6576290945988925
7,521,Track_521,301,Jazz,1.0,0.6540421887704216
7,1352,Track_1352,56,Jazz,2.8,0.6519725683107249
7,428,Track_428,473,Jazz,1.0,0.6511072177348358
7,279,Track_279,167,Jazz,1.0,0.6503645987431154
7,776,Track_776,52,Jazz,1.0,0.6474149026024697
7,1395,Track_1395,62,Jazz,1.1,0.6467460061161562
1691,119,Track_119,421,Rock,20.1,0.7243899892737582
1691,2,Track_2,282,Rock,12.4,0.5995443429971621
1691,255,Track_255,399,Hip-Hop,13.1,0.5954822198769352
1691,157,Track_157,256,Hip-Hop,1.0,0.5735000283960657
1691,788,Track_788,375,Hip-Hop,1.2,0.5734460764010447
1691,222,Track_222,173,Electronic,1.0,0.5730209561482834
1691,112,Track_112,129,Hip-Hop,1.0,0.5713034927733411
1691,820,Track_820,8,Hip-Hop,1.6,0.5702774970891928
1691,71,Track_71,319,Hip-Hop,1.0,0.5684808806082143
1691,1091,Track_1091,258,Hip-Hop,8.9,0.5669112541395861
232,603,Track_603,305,Country,1.0,0.6759904764765812
232,101,Track_101,443,Country,1.1,0.6736907504350097
232,1083,Track_1083,293,Country,1.1,0.6700034800908791
232,1240,Track_1240,451,Pop,17.7,0.663847835129792
232,382,Track_382,426,Country,1.0,0.6633679035987554
232,1166,Track_1166,180,Jazz,1.2,0.6618838444555833
232,502,Track_502,81,Country,2.6,0.6595217192033578
232,1471,Track_1471,103,Country,1.6,0.6591803818197558
232,631,Track_631,403,Country,1.0,0.6570224423322629
232,296,Track_296,198,Country,1.6,0.6566685479640656
700,640,Track_640,313,Jazz,2.5,0.6388245299086309
700,1395,Track_1395,62,Jazz,1.1,0.6354095945911071
700,1305,Track_1305,333,Jazz,1.4,0.6332527936424248
700,334,Track_334,247,Jazz,1.0,0.6322364512392173
700,1497,Track_1497,324,Jazz,2.2,0.6300438669770488
700,406,Track_406,283,Jazz,1.4,0.6237383493895989
700,912,Track_912,407,Jazz,2.1,0.6217344014863846
700,42,Track_42,207,Jazz,2.4,0.6210204089023704
700,3,Track_3,111,Jazz,1.7,0.6042717778704082
700,45,Track_45,143,Jazz,3.3,0.6039774041309011
1005,20,Track_20,314,R&B,8.3,0.6036747830957827
1005,62,Track_62,326,Electronic,10.4,0.6021266653619631
1005,450,Track_450,157,R&B,9.1,0.6020987281224063
1005,2,Track_2,282,Rock,12.4,0.595192092253161
1005,719,Track_719,100,R&B,4.5,0.5933801403806109
1005,61,Track_61,257,R&B,1.0,0.5925135045940756
1005,351,Track_351,67,R&B,1.0,0.5833656095144828
1005,365,Track_365,4,R&B,1.0,0.5767799388828566
1005,40,Track_40,310,R&B,1.0,0.5760468981351532
1005,1062,Track_1062,284,R&B,1.3,0.5748783692496299
940,1240,Track_1240,451,Pop,17.7,0.8384951435999356
940,408,Track_408,274,Jazz,1.2,0.8369739189181183
940,740,Track_740,64,Rock,18.6,0.8324036302448218
940,1241,Track_1241,400,Jazz,2.5,0.8232219762092452
940,640,Track_640,313,Jazz,2.5,0.819728511179335
940,406,Track_406,283,Jazz,1.4,0.8099506423607201
940,1193,Track_1193,186,Jazz,3.4,0.8080772746321173
940,116,Track_116,234,Jazz,1.0,0.8013251961459752
940,3,Track_3,111,Jazz,1.7,0.7969823641362583
940,1099,Track_1099,378,Jazz,7.1,0.7909786398987586
1989,1240,Track_1240,451,Pop,17.7,0.6358609245460753
1989,255,Track_255,399,Hip-Hop,13.1,0.5792603724166806
1989,1183,Track_1183,298,Pop,16.4,0.5670198824096456
1989,788,Track_788,375,Hip-Hop,1.2,0.5569979506655893
1989,112,Track_112,129,Hip-Hop,1.0,0.5548368847109368
1989,820,Track_820,8,Hip-Hop,1.6,0.5538022590399133
1989,71,Track_71,319,Hip-Hop,1.0,0.5519908743824395
1989,68,Track_68,254,Hip-Hop,1.0,0.5504068814382382
1989,476,Track_476,359,Hip-Hop,1.1,0.5492394201086107
1989,909,Track_909,160,Hip-Hop,1.1,0.5468451102077474
1161,119,Track_119,421,Rock,20.1,0.9348085422126117
1161,623,Track_623,202,Latin,2.1,0.9072192751299609
1161,740,Track_740,64,Rock,18.6,0.9069320408471169
1161,170,Track_170,156,Latin,1.1,0.8950576239780025
1161,2,Track_2,282,Rock,12.4,0.8909262262158654
1161,157,Track_157,256,Hip-Hop,1.0,0.880040731567203
1161,788,Track_788,375,Hip-Hop,1.2,0.8800174441670421
1161,791,Track_791,340,Hip-Hop,11.1,0.879782043861486
1161,112,Track_112,129,Hip-Hop,1.0,0.8790900839697191
1161,820,Track_820,8,Hip-Hop,1.6,0.8786442385194994
1698,23,Track_23,279,Latin,1.0,0.6523996075180922
1698,447,Track_447,31,Latin,1.0,0.6497252448285568
1698,32,Track_32,164,Latin,6.8,0.6437079622948954
1698,688,Track_688,4,Latin,1.0,0.6432074693158163
1698,544,Track_544,155,Latin,1.0,0.629893086270892
1698,850,Track_850,192,Latin,1.5,0.6256683759400317
1698,405,Track_405,213,Latin,1.0,0.6252397223521854
1698,720,Track_720,353,Latin,1.5,0.6207565089486128
1698,1109,Track_1109,193,Latin,1.3,0.6154533916079356
1698,599,Track_599,309,Latin,1.0,0.6148103203552796
1513,101,Track_101,443,Country,1.1,0.6690022878850642
1513,1083,Track_1083,293,Country,1.1,0.6652883601035064
1513,782,Track_782,53,Country,1.0,0.6598542169639445
1513,817,Track_817,234,Country,1.0,0.6590283457615723
1513,502,Track_502,81,Country,2.6,0.6547340098491607
1513,1471,Track_1471,103,Country,1.6,0.6543903879128438
1513,1223,Track_1223,120,Country,1.1,0.6543311455019873
1513,695,Track_695,116,Country,1.0,0.6495740368477916
1513,740,Track_740,64,Rock,18.6,0.6490633885039224
1513,508,Track_508,394,Jazz,1.0,0.6483664413688753
